atmospheric_temp,soil_temp,humidity,rainfall,previous_soil_moisture,soil_moisture,future_soil_moisture,x,y
9.6,10.9,91.0,0.0,0.21,0.21,0.21,0,0
16.9,23.7,79.0,0.0,0.06,0.06,0.06,1,0
16.1,18.8,91.0,0.0,0.127,0.127,0.127,1,1
15.5,19.1,79.0,0.0,0.08,0.08,0.08,0,1
14.7,11.0,52.0,0.0,0.35,0.35,0.351,0,1
8.8,10.0,99.0,0.0,0.244,0.244,0.244,1,1
11.4,10.7,56.0,0.0,0.287,0.287,0.287,1,1
15.5,14.9,90.0,0.0,0.244,0.244,0.244,1,1
20.9,25.0,62.0,0.0,0.092,0.091,0.091,0,0
8.9,12.7,99.0,0.0,0.43,0.43,0.43,0,0
20.4,19.1,60.0,0.0,0.236,0.235,0.233,0,1
21.6,25.5,59.0,0.0,0.1,0.1,0.099,0,1
17.3,13.6,75.0,0.0,0.342,0.342,0.341,0,1
14.6,16.8,94.0,0.0,0.126,0.126,0.127,0,1
12.9,13.1,72.0,0.0,0.094,0.094,0.094,0,1
11.8,9.5,55.0,0.0,0.379,0.379,0.379,0,1
18.7,26.6,75.0,0.0,0.051,0.052,0.052,1,0
10.1,11.6,92.0,0.0,0.423,0.424,0.424,0,0
14.4,16.8,87.0,0.0,0.08,0.08,0.079,1,0
15.6,21.0,78.0,0.0,0.057,0.057,0.057,1,1
13.6,20.0,91.0,0.0,0.064,0.063,0.063,0,1
19.2,28.3,69.0,0.0,0.052,0.052,0.052,0,0
14.8,14.3,99.0,0.0,0.194,0.194,0.194,1,0
15.2,15.4,79.0,0.0,0.119,0.119,0.119,0,0
15.6,14.5,68.0,0.0,0.113,0.113,0.113,1,0
18.4,23.3,60.0,0.0,0.069,0.069,0.069,0,0
11.1,12.0,95.0,0.5,0.407,0.41,0.409,0,1
10.0,10.0,80.0,0.0,0.241,0.24,0.241,0,0
14.1,16.5,100.0,0.0,0.118,0.118,0.118,1,1
8.9,8.9,65.0,0.0,0.405,0.405,0.406,1,0
15.2,17.3,100.0,0.0,0.14,0.14,0.14,1,1
18.9,29.7,72.0,0.0,0.056,0.056,0.056,0,0
16.8,16.9,90.0,0.0,0.09,0.09,0.09,0,1
16.0,15.2,87.0,0.0,0.338,0.338,0.337,1,0
7.1,7.8,65.0,0.0,0.319,0.319,0.319,1,1
13.9,16.5,93.0,0.0,0.052,0.052,0.052,1,1
20.3,19.0,75.0,0.0,0.325,0.324,0.323,0,0
14.1,19.1,93.0,0.0,0.053,0.053,0.053,1,0
15.0,14.7,82.0,0.0,0.334,0.334,0.335,0,1
5.0,7.4,81.0,0.0,0.412,0.411,0.411,1,1
12.7,11.8,94.0,0.0,0.271,0.271,0.271,0,1
13.8,15.4,90.0,0.0,0.072,0.071,0.072,1,1
16.1,17.0,83.0,0.0,0.119,0.119,0.119,0,0
7.8,8.2,84.0,0.0,0.387,0.387,0.387,0,1
7.7,8.4,76.0,0.0,0.302,0.302,0.302,1,1
18.1,18.0,72.0,0.0,0.313,0.311,0.311,0,1
15.4,11.6,41.0,0.0,0.3,0.3,0.3,1,1
13.9,13.7,89.0,7.4,0.224,0.246,0.296,1,0
8.0,12.2,100.0,0.0,0.43,0.43,0.431,1,0
14.8,20.4,89.0,0.0,0.055,0.055,0.055,1,0
13.7,13.6,91.0,0.0,0.201,0.201,0.201,1,1
16.4,17.2,90.0,0.0,0.109,0.109,0.109,1,1
17.6,23.8,77.0,0.0,0.062,0.063,0.062,0,0
14.8,16.6,98.0,0.0,0.126,0.127,0.126,1,1
16.4,18.8,83.0,0.0,0.065,0.065,0.065,1,0
19.0,15.3,47.0,0.0,0.276,0.275,0.273,1,1
17.6,31.0,69.0,0.0,0.057,0.057,0.057,0,0
15.3,17.3,87.0,0.0,0.074,0.074,0.074,1,0
13.4,14.8,70.0,0.0,0.101,0.101,0.101,0,0
15.7,14.2,84.0,0.5,0.416,0.416,0.417,0,1
20.4,19.1,60.0,0.0,0.236,0.235,0.233,0,0
15.1,19.1,92.0,0.0,0.054,0.054,0.054,1,0
22.4,26.5,44.0,0.0,0.105,0.105,0.104,0,0
12.7,13.6,94.0,0.0,0.095,0.095,0.095,1,1
16.5,21.5,79.0,0.0,0.056,0.056,0.056,1,1
12.7,14.5,94.0,0.0,0.087,0.087,0.087,0,1
8.9,10.9,99.0,0.0,0.306,0.305,0.305,0,1
14.3,18.0,94.0,0.0,0.054,0.054,0.054,0,0
14.2,17.8,95.0,0.0,0.054,0.054,0.054,0,1
18.9,23.1,68.0,0.0,0.117,0.116,0.115,0,0
13.3,12.7,81.0,0.2,0.298,0.299,0.302,0,1
15.4,17.6,96.0,0.0,0.136,0.136,0.136,1,1
14.0,16.5,100.0,0.0,0.135,0.135,0.135,0,0
10.6,11.3,96.0,0.0,0.099,0.099,0.099,0,1
17.1,20.3,85.0,0.0,0.052,0.052,0.052,1,1
17.0,14.1,51.0,0.0,0.318,0.317,0.316,1,0
15.6,14.1,79.0,0.0,0.225,0.225,0.225,1,1
18.6,18.8,60.0,0.0,0.296,0.294,0.292,1,1
9.2,9.4,80.0,0.0,0.352,0.351,0.351,1,0
21.1,17.7,48.0,0.0,0.286,0.284,0.285,1,0
18.6,18.6,78.0,0.0,0.347,0.346,0.345,1,1
11.7,14.2,84.0,0.0,0.062,0.061,0.062,0,1
11.2,15.2,100.0,0.0,0.062,0.062,0.062,0,1
9.4,10.1,86.0,0.0,0.346,0.346,0.346,1,1
22.3,18.3,51.0,0.0,0.091,0.09,0.09,1,1
10.8,10.0,66.0,0.0,0.255,0.255,0.255,0,1
13.7,18.9,95.0,0.0,0.06,0.06,0.06,0,0
10.3,11.6,94.0,0.0,0.113,0.113,0.113,0,0
14.1,12.9,84.0,0.0,0.333,0.333,0.334,0,0
13.3,15.9,100.0,0.0,0.115,0.115,0.115,1,1
11.5,10.0,73.0,0.0,0.366,0.366,0.366,0,0
12.6,12.6,89.0,0.0,0.226,0.226,0.226,1,0
13.7,13.9,78.0,0.0,0.119,0.119,0.119,0,1
9.5,9.5,78.0,0.0,0.351,0.352,0.352,0,1
13.1,11.6,83.0,0.0,0.249,0.25,0.25,0,1
14.3,12.0,87.0,0.0,0.239,0.238,0.238,0,0
21.8,22.1,77.0,0.0,0.163,0.162,0.162,0,0
19.2,16.5,72.0,0.0,0.359,0.358,0.356,0,0
17.7,16.9,81.0,0.0,0.085,0.085,0.085,1,0
16.9,12.2,49.0,0.0,0.287,0.287,0.286,1,0
15.1,14.8,90.0,4.4,0.222,0.233,0.253,1,0
18.5,29.3,66.0,0.0,0.068,0.067,0.067,1,1
19.6,18.4,75.0,0.0,0.279,0.278,0.277,1,0
7.2,8.9,66.0,0.0,0.402,0.402,0.402,1,0
16.3,13.1,88.0,0.0,0.228,0.228,0.227,0,1
19.2,16.1,45.0,0.0,0.266,0.266,0.265,0,1
24.5,23.8,53.0,0.0,0.167,0.166,0.164,1,0
13.2,13.5,88.0,1.7,0.288,0.287,0.297,1,0
16.0,19.2,85.0,0.0,0.087,0.087,0.087,0,1
12.2,13.1,89.0,0.0,0.427,0.427,0.428,0,1
14.9,18.9,96.0,0.0,0.053,0.053,0.053,0,1
14.0,12.8,90.0,0.0,0.344,0.345,0.345,0,1
13.9,17.5,96.0,0.0,0.054,0.054,0.054,1,0
12.7,14.5,94.0,0.0,0.087,0.087,0.087,0,0
15.0,17.4,99.0,0.0,0.14,0.14,0.14,0,0
12.0,12.0,61.0,0.0,0.102,0.102,0.102,0,0
13.7,17.7,96.0,0.0,0.063,0.062,0.062,1,0
13.0,15.5,89.0,0.0,0.061,0.061,0.061,1,1
18.6,24.6,69.0,0.0,0.089,0.089,0.088,1,1
14.6,16.8,94.0,0.0,0.126,0.126,0.127,1,0
18.3,14.2,68.0,0.0,0.285,0.285,0.284,1,1
16.8,17.8,84.0,0.0,0.223,0.222,0.222,0,1
13.7,13.2,83.0,0.0,0.26,0.261,0.261,0,1
16.4,20.8,80.0,0.0,0.059,0.059,0.059,0,1
11.9,12.0,97.0,0.0,0.327,0.327,0.327,1,0
16.7,11.9,54.0,0.0,0.392,0.391,0.39,1,1
11.9,9.1,49.0,0.0,0.287,0.287,0.287,1,0
15.5,18.0,95.0,0.0,0.054,0.054,0.054,1,0
14.2,17.2,91.0,0.0,0.054,0.054,0.054,1,0
18.6,15.4,70.0,0.0,0.292,0.292,0.292,1,0
9.1,10.2,98.0,0.0,0.335,0.335,0.335,1,1
11.2,12.3,94.0,0.0,0.076,0.076,0.075,0,0
11.6,13.8,83.0,0.0,0.062,0.062,0.061,1,0
20.7,21.1,79.0,0.0,0.153,0.153,0.153,0,0
15.4,11.6,41.0,0.0,0.3,0.3,0.3,0,0
16.8,31.1,80.0,0.0,0.06,0.06,0.06,1,1
19.6,19.2,70.0,0.0,0.233,0.232,0.23,0,0
18.5,27.7,77.0,0.0,0.054,0.054,0.054,0,0
14.3,14.8,97.0,0.0,0.43,0.43,0.429,0,0
9.6,11.8,99.0,0.0,0.424,0.424,0.424,1,1
12.3,12.9,88.0,0.0,0.428,0.427,0.427,1,1
13.9,13.7,97.0,0.0,0.186,0.186,0.186,0,0
20.3,26.4,75.0,0.0,0.089,0.089,0.089,0,1
17.6,13.5,62.0,0.0,0.371,0.371,0.371,1,0
10.7,12.9,93.0,0.0,0.059,0.058,0.058,0,0
14.4,18.3,91.0,0.0,0.055,0.055,0.054,1,0
13.2,15.4,84.0,0.0,0.078,0.078,0.078,1,1
14.2,14.9,95.0,0.0,0.097,0.097,0.097,0,1
16.5,20.4,78.0,0.0,0.087,0.087,0.086,1,0
16.7,15.9,87.0,0.0,0.34,0.339,0.338,0,0
4.5,6.5,73.0,0.0,0.319,0.319,0.319,1,0
15.7,18.2,91.0,0.0,0.126,0.126,0.126,0,1
14.0,13.3,95.0,0.0,0.21,0.21,0.21,0,1
15.2,17.2,98.0,0.0,0.112,0.112,0.112,1,0
19.2,18.5,78.0,0.0,0.21,0.21,0.21,1,1
19.2,26.7,64.0,0.0,0.079,0.079,0.078,1,1
7.9,8.3,63.0,0.0,0.318,0.319,0.319,0,1
17.1,17.4,55.0,0.0,0.378,0.376,0.374,1,1
15.6,15.1,91.0,0.6,0.422,0.422,0.424,1,0
13.4,14.2,91.0,0.0,0.086,0.086,0.085,0,0
16.7,22.0,65.0,0.0,0.058,0.058,0.058,1,0
15.6,13.6,87.0,0.0,0.339,0.339,0.339,0,0
5.8,7.8,79.0,0.0,0.398,0.398,0.398,1,0
13.1,14.6,84.0,0.0,0.058,0.057,0.058,0,0
5.5,7.1,81.0,0.0,0.386,0.386,0.386,1,1
14.8,17.5,100.0,0.0,0.135,0.135,0.135,0,0
17.4,15.8,73.0,0.0,0.06,0.06,0.06,1,0
14.2,15.4,86.0,0.4,0.287,0.297,0.297,0,0
14.2,13.5,81.0,0.0,0.332,0.332,0.331,0,0
15.4,23.0,84.0,0.0,0.064,0.064,0.064,1,1
12.1,11.6,80.0,0.0,0.321,0.321,0.321,1,1
14.8,14.9,80.0,0.0,0.109,0.109,0.109,0,0
16.6,14.4,38.0,0.0,0.415,0.414,0.414,1,0
10.5,11.3,94.0,0.0,0.21,0.21,0.21,1,0
16.8,21.3,77.0,0.0,0.068,0.068,0.068,0,1
13.5,16.1,96.0,0.0,0.072,0.072,0.072,0,0
10.2,13.4,99.0,0.0,0.431,0.43,0.431,0,0
18.8,26.2,67.0,0.0,0.089,0.089,0.089,1,0
19.6,18.4,75.0,0.0,0.279,0.278,0.277,0,0
12.1,11.9,97.0,0.0,0.244,0.244,0.244,0,1
14.5,19.8,78.0,0.0,0.057,0.057,0.057,0,0
14.2,11.8,86.0,0.0,0.265,0.265,0.265,0,1
14.4,14.0,82.0,0.0,0.428,0.427,0.427,0,1
12.3,13.7,70.0,0.0,0.083,0.083,0.083,1,1
14.1,17.4,79.0,0.0,0.059,0.059,0.059,1,0
13.0,14.3,75.0,0.0,0.071,0.07,0.07,0,0
11.6,13.7,94.0,0.0,0.087,0.087,0.087,0,0
9.4,10.1,86.0,0.0,0.346,0.346,0.346,1,0
17.4,20.6,76.0,0.0,0.097,0.098,0.098,0,1
11.4,10.6,77.0,0.0,0.241,0.241,0.24,0,0
21.8,22.1,77.0,0.0,0.163,0.162,0.162,0,1
9.8,9.8,73.0,0.0,0.239,0.239,0.238,0,0
12.9,15.4,96.0,0.0,0.072,0.072,0.072,0,1
15.9,20.0,90.0,0.0,0.064,0.064,0.064,0,0
14.0,11.8,84.0,0.0,0.23,0.23,0.23,1,1
16.8,28.6,72.0,0.0,0.057,0.057,0.057,1,1
11.7,13.8,87.0,0.0,0.058,0.058,0.058,0,1
7.0,7.9,84.0,0.0,0.387,0.387,0.387,1,1
11.9,11.8,79.0,0.0,0.251,0.251,0.251,0,0
16.7,15.9,77.0,0.0,0.119,0.118,0.118,0,1
16.2,14.5,86.0,0.0,0.326,0.326,0.326,0,0
17.5,21.5,90.0,0.0,0.139,0.138,0.137,1,1
17.6,16.8,69.0,0.0,0.243,0.241,0.241,0,1
11.0,12.6,99.0,0.0,0.423,0.423,0.424,0,1
13.3,13.6,75.0,0.0,0.251,0.251,0.251,0,1
15.6,17.4,98.0,0.0,0.14,0.14,0.14,1,0
17.6,22.3,83.0,0.0,0.117,0.117,0.116,0,1
17.2,20.8,91.0,0.0,0.189,0.188,0.186,0,0
11.1,12.4,77.0,0.0,0.057,0.057,0.057,0,1
19.0,19.1,81.0,0.0,0.32,0.32,0.319,1,0
15.6,15.1,91.0,0.6,0.422,0.422,0.424,0,0
14.5,17.5,93.0,0.0,0.054,0.054,0.054,1,0
15.2,17.6,92.0,0.0,0.126,0.126,0.126,1,0
14.8,14.4,89.0,0.8,0.255,0.255,0.256,1,0
17.4,28.2,79.0,0.0,0.053,0.053,0.053,0,1
10.6,11.4,88.0,0.0,0.094,0.093,0.093,0,0
13.6,15.2,82.0,0.0,0.085,0.085,0.085,0,0
13.7,11.3,30.0,0.0,0.414,0.413,0.413,1,1
13.3,14.0,92.0,0.0,0.078,0.078,0.078,1,0
16.1,21.1,88.0,0.0,0.063,0.063,0.063,1,1
19.0,15.3,47.0,0.0,0.276,0.275,0.273,0,1
14.8,17.4,96.0,0.0,0.112,0.112,0.112,0,1
14.8,15.0,79.0,0.0,0.103,0.103,0.103,1,0
15.9,17.1,100.0,0.0,0.143,0.143,0.143,1,1
11.7,10.7,84.0,0.0,0.356,0.356,0.356,0,0
10.3,11.6,94.0,0.0,0.113,0.113,0.113,1,1
16.9,19.5,74.0,0.0,0.092,0.091,0.091,0,1
13.7,13.9,87.0,0.0,0.427,0.427,0.427,1,1
13.0,13.9,93.0,0.0,0.086,0.085,0.085,1,0
13.1,18.3,98.0,0.0,0.063,0.063,0.063,1,0
11.4,11.0,97.0,0.0,0.35,0.351,0.351,1,0
9.8,9.9,86.0,0.0,0.23,0.23,0.23,0,0
16.4,16.5,85.0,0.0,0.319,0.319,0.32,1,0
17.1,14.6,80.0,0.0,0.332,0.332,0.332,0,0
18.3,17.2,49.0,0.0,0.286,0.284,0.281,1,0
15.4,15.5,68.0,0.0,0.252,0.252,0.251,0,0
17.4,17.7,82.0,0.0,0.245,0.245,0.244,0,1
14.4,13.8,83.0,0.0,0.427,0.427,0.427,1,0
20.9,19.0,43.0,0.0,0.259,0.258,0.255,1,0
10.1,10.5,93.0,0.0,0.312,0.312,0.312,1,0
14.8,17.2,95.0,0.0,0.089,0.088,0.088,1,1
7.1,7.8,65.0,0.0,0.319,0.319,0.319,0,1
16.8,14.6,56.0,0.0,0.277,0.277,0.277,0,1
14.1,14.6,96.0,0.0,0.43,0.43,0.43,1,1
10.3,10.0,89.0,0.0,0.309,0.309,0.31,1,1
13.1,14.7,89.0,0.0,0.076,0.076,0.076,0,1
18.2,23.4,83.0,0.0,0.052,0.052,0.053,1,1
15.0,14.0,85.0,0.0,0.337,0.337,0.337,1,0
13.3,14.5,98.0,0.0,0.43,0.431,0.43,0,1
15.1,16.8,96.0,0.0,0.133,0.132,0.132,0,1
8.7,9.7,69.0,0.0,0.409,0.405,0.405,0,1
12.7,13.3,91.0,0.0,0.3,0.3,0.3,0,1
6.6,8.3,83.0,0.0,0.386,0.386,0.386,1,1
10.3,10.8,98.0,0.0,0.228,0.229,0.229,0,0
11.3,12.5,80.0,0.0,0.083,0.082,0.083,1,1
16.4,18.2,89.0,0.0,0.108,0.108,0.108,0,0
11.5,11.3,91.0,0.0,0.338,0.338,0.339,1,1
10.3,11.4,93.0,0.0,0.237,0.236,0.237,0,0
10.1,12.3,92.0,0.0,0.057,0.057,0.057,1,0
19.2,15.7,51.0,0.0,0.372,0.371,0.371,1,1
21.0,19.6,48.0,0.0,0.255,0.254,0.252,0,1
11.3,13.5,91.0,0.0,0.062,0.062,0.062,1,1
13.6,16.9,92.0,0.0,0.059,0.059,0.059,1,1
20.8,18.3,65.0,0.0,0.331,0.331,0.331,1,1
6.7,8.3,84.0,0.0,0.314,0.314,0.314,1,1
16.8,16.3,75.0,0.0,0.427,0.426,0.425,1,0
13.8,19.4,81.0,0.0,0.058,0.058,0.057,1,1
15.3,19.3,95.0,0.0,0.053,0.053,0.053,0,0
19.0,13.6,57.0,0.0,0.238,0.238,0.237,0,0
15.9,21.0,88.0,0.0,0.072,0.072,0.073,1,1
9.6,10.3,98.0,0.0,0.229,0.229,0.229,0,0
15.2,17.0,95.0,0.0,0.132,0.132,0.132,1,1
15.1,14.8,90.0,4.4,0.222,0.233,0.253,1,1
16.6,15.6,93.0,0.0,0.442,0.436,0.434,1,1
14.4,19.0,96.0,0.0,0.054,0.054,0.054,1,1
14.1,14.9,91.0,0.0,0.093,0.092,0.092,0,1
16.1,18.9,87.0,0.0,0.11,0.109,0.11,0,1
14.2,13.4,77.0,0.0,0.22,0.22,0.221,1,1
14.6,17.2,98.0,0.0,0.128,0.128,0.128,1,0
17.4,18.1,57.0,0.0,0.246,0.244,0.243,0,1
5.0,7.5,87.0,0.0,0.386,0.386,0.386,0,1
18.7,25.6,66.0,0.0,0.092,0.092,0.092,1,0
7.2,8.9,66.0,0.0,0.402,0.402,0.402,0,0
13.7,15.9,96.0,0.0,0.06,0.06,0.06,0,0
19.4,21.1,74.0,0.0,0.061,0.061,0.061,0,0
9.9,11.1,78.0,0.0,0.293,0.292,0.292,1,0
14.4,10.8,75.0,0.0,0.286,0.286,0.285,0,0
13.4,12.4,84.0,0.0,0.225,0.225,0.225,1,0
9.0,9.0,76.0,0.0,0.367,0.367,0.367,1,1
14.8,15.0,79.0,0.0,0.103,0.103,0.103,1,1
13.0,12.6,97.0,0.0,0.244,0.244,0.244,0,0
21.4,16.4,47.0,0.0,0.264,0.263,0.261,1,1
18.7,18.1,46.0,0.0,0.273,0.272,0.27,1,1
13.8,16.0,94.0,0.0,0.054,0.054,0.054,1,1
14.9,18.5,95.0,0.0,0.053,0.053,0.053,0,0
15.9,19.8,88.0,0.0,0.129,0.129,0.128,0,0
12.7,10.8,53.0,0.0,0.422,0.422,0.422,1,1
15.2,15.4,79.0,0.0,0.429,0.428,0.428,1,1
15.6,14.2,95.0,0.0,0.244,0.244,0.244,0,0
16.4,16.5,90.0,0.0,0.424,0.423,0.423,1,1
11.6,10.3,72.0,0.0,0.351,0.351,0.351,0,0
19.2,18.4,77.0,0.0,0.324,0.324,0.324,1,0
11.4,12.2,92.0,0.0,0.424,0.423,0.424,0,0
12.0,14.5,90.0,0.0,0.059,0.059,0.059,1,1
16.2,20.1,92.0,0.0,0.113,0.113,0.112,1,0
19.3,25.8,74.0,0.0,0.052,0.052,0.052,0,1
14.4,14.1,77.0,0.0,0.22,0.221,0.221,0,0
14.9,16.6,98.0,0.0,0.127,0.127,0.126,1,1
12.2,10.0,84.0,0.0,0.343,0.343,0.342,0,1
16.8,18.0,74.0,0.0,0.077,0.077,0.076,1,1
14.5,18.2,79.0,0.0,0.07,0.07,0.07,1,1
7.8,8.2,82.0,0.0,0.31,0.31,0.31,1,1
10.2,11.9,98.0,0.0,0.085,0.085,0.085,1,0
18.6,19.6,74.0,0.0,0.09,0.09,0.09,0,0
16.3,22.1,88.0,0.0,0.054,0.054,0.054,1,1
8.3,10.2,83.0,0.0,0.079,0.079,0.079,1,0
16.2,17.7,93.0,0.0,0.121,0.121,0.121,1,1
24.3,18.0,60.0,0.0,0.185,0.184,0.183,1,1
14.1,12.6,67.0,0.0,0.421,0.422,0.421,0,0
13.6,15.6,90.0,0.0,0.072,0.072,0.072,1,1
18.7,28.4,70.0,0.0,0.077,0.077,0.077,1,1
15.9,21.5,72.0,0.0,0.072,0.072,0.072,1,1
14.0,18.2,88.0,0.0,0.06,0.06,0.06,0,1
11.3,8.9,65.0,0.0,0.255,0.256,0.255,0,0
12.5,12.2,96.0,0.0,0.348,0.349,0.349,0,1
15.3,13.4,91.0,0.0,0.23,0.23,0.23,0,0
15.0,18.4,89.0,0.0,0.054,0.054,0.054,1,1
19.1,19.6,57.0,0.0,0.292,0.29,0.288,1,1
16.1,13.9,73.0,0.0,0.241,0.241,0.241,0,1
20.1,30.7,69.0,0.0,0.061,0.061,0.061,1,0
17.7,19.2,85.0,0.0,0.242,0.241,0.239,0,0
17.0,16.7,87.0,0.0,0.238,0.238,0.238,1,0
14.3,17.0,99.0,0.0,0.112,0.112,0.112,0,1
16.8,24.9,80.0,0.0,0.055,0.055,0.055,0,0
16.4,19.2,90.0,0.0,0.127,0.126,0.126,1,1
9.6,10.1,77.0,0.0,0.345,0.343,0.342,1,0
8.0,8.4,76.0,0.0,0.265,0.265,0.265,0,0
17.9,15.7,81.0,0.0,0.354,0.354,0.352,0,1
19.4,32.1,64.0,0.0,0.052,0.052,0.052,1,1
9.6,12.4,94.0,0.0,0.067,0.067,0.067,1,0
13.8,14.4,89.0,0.0,0.098,0.097,0.097,0,1
20.5,22.5,70.0,0.0,0.096,0.096,0.096,1,1
15.7,23.7,82.0,0.0,0.063,0.063,0.063,0,1
14.0,9.9,68.0,0.0,0.367,0.367,0.366,0,0
16.3,12.6,59.0,0.0,0.249,0.249,0.249,0,1
12.6,12.4,87.0,0.0,0.226,0.226,0.226,0,0
17.5,17.9,86.0,0.0,0.239,0.238,0.238,0,1
14.4,18.0,87.0,0.0,0.073,0.073,0.072,0,0
19.7,19.0,56.0,0.0,0.236,0.234,0.232,1,1
13.2,10.0,37.0,0.0,0.288,0.287,0.287,0,1
16.0,22.7,80.0,0.0,0.064,0.064,0.064,1,0
15.9,18.6,85.0,0.0,0.055,0.055,0.055,1,1
13.1,11.4,81.0,0.0,0.23,0.23,0.23,1,1
13.8,10.9,84.0,0.0,0.361,0.361,0.361,1,1
12.4,14.7,81.0,0.0,0.058,0.058,0.057,0,0
16.3,15.7,78.0,0.0,0.09,0.09,0.09,0,1
13.9,17.3,93.0,0.0,0.06,0.06,0.06,0,0
12.8,14.6,86.0,0.0,0.062,0.062,0.062,1,1
19.5,15.8,61.0,0.0,0.238,0.237,0.236,1,1
7.8,9.4,82.0,0.0,0.323,0.324,0.324,1,1
17.5,13.8,50.0,0.0,0.287,0.286,0.286,1,0
4.0,6.5,85.0,0.0,0.395,0.395,0.395,0,1
14.6,12.5,65.0,0.0,0.395,0.395,0.395,1,1
16.0,17.1,82.0,0.0,0.229,0.229,0.229,1,0
18.0,28.4,76.0,0.0,0.073,0.073,0.073,1,0
13.6,13.8,90.0,0.5,0.427,0.427,0.427,1,0
9.1,9.9,88.0,0.0,0.218,0.218,0.218,0,0
20.0,19.8,72.0,0.0,0.203,0.202,0.201,1,1
19.6,31.0,68.0,0.0,0.062,0.062,0.062,1,1
16.6,14.2,84.0,0.0,0.338,0.338,0.338,1,0
14.3,16.7,91.0,0.0,0.062,0.062,0.062,0,1
15.8,15.7,93.0,0.0,0.144,0.144,0.144,0,1
12.1,11.9,97.0,0.0,0.244,0.244,0.244,1,1
14.0,13.7,88.0,0.0,0.201,0.201,0.201,1,0
14.2,13.5,81.0,0.0,0.332,0.332,0.331,0,1
17.2,25.9,78.0,0.0,0.073,0.074,0.074,0,0
9.0,10.9,81.0,0.0,0.292,0.292,0.292,1,1
13.1,16.2,97.0,0.0,0.062,0.062,0.062,0,0
16.8,19.4,80.0,0.0,0.232,0.231,0.229,1,0
13.6,14.3,98.0,0.0,0.121,0.121,0.121,1,0
4.9,6.7,80.0,0.0,0.386,0.386,0.386,0,1
11.2,13.2,97.0,0.0,0.056,0.056,0.056,0,1
16.5,19.3,77.0,0.0,0.077,0.077,0.077,1,1
9.5,13.1,99.0,0.0,0.43,0.431,0.43,0,1
15.4,13.7,83.0,0.0,0.347,0.347,0.347,0,0
10.9,10.2,85.0,0.0,0.356,0.356,0.356,0,1
18.7,27.8,71.0,0.0,0.075,0.075,0.075,1,1
13.9,15.1,47.0,0.0,0.333,0.332,0.329,0,1
16.9,18.2,59.0,0.0,0.069,0.069,0.069,0,1
20.2,20.6,74.0,0.0,0.328,0.327,0.325,0,0
14.1,16.3,98.0,0.0,0.126,0.126,0.126,0,0
6.3,7.5,68.0,0.0,0.319,0.319,0.319,1,0
16.7,18.6,76.0,0.0,0.067,0.068,0.068,1,0
13.8,14.7,84.0,0.0,0.237,0.237,0.237,0,0
14.0,18.4,95.0,0.0,0.054,0.054,0.054,0,0
9.6,10.8,77.0,0.0,0.094,0.094,0.094,1,0
19.5,25.2,59.0,0.0,0.094,0.093,0.093,1,0
13.4,16.6,98.0,0.0,0.063,0.063,0.063,0,1
21.6,19.2,62.0,0.0,0.332,0.331,0.331,1,1
18.2,19.9,78.0,0.0,0.11,0.109,0.109,1,0
20.3,28.0,67.0,0.0,0.082,0.082,0.082,0,1
